target_tokens,prompt_tokens,prompt_seconds,prompt_tps,generation_tokens,generation_seconds,generation_tps,load_ms,total_seconds
1024,655,1.094216,598.6021041549383,256,5.118685,50.01284509595726,281.715458,6.524586833
2048,1267,1.919261,660.1499222877972,256,5.0629,50.56390606174327,278.967541,7.292214791
4096,2497,3.739375,667.7586495069363,256,5.2499,48.76283357778243,278.77325,9.305927458
8192,4963,7.330709,677.0150063247635,256,5.383487,47.552822176407226,281.959209,13.052145959
16384,9886,15.15888,652.1589985539829,256,5.633264,45.44434629727988,286.602,21.174162584
32768,19740,33.659239,586.4660220036466,256,6.00719,42.61559897389628,292.25825,40.097567875
65536,39434,81.396219,484.4696778851607,256,6.915359,37.01904702272145,291.330708,88.933884833
